conm,gvkey,tic
BANDAG INC,002008,BDG.2
BANGOR HYDRO-ELECTRIC CO,002011,EMA1.
BANK OF NEW YORK MELLON CORP,002019,BK
BRE PROPERTIES INC,002025,BRE
VSI HOLDINGS INC,002028,VSIH
FAIRCHILD CORP  -CL A,002033,FCHDQ
BANTA CORP,002034,BN.2
BARD (C.R.) INC,002044,BCR
BARNES GROUP INC,002049,B
BARNWELL INDUSTRIES,002052,BRN
BARRETT RESOURCES CORP,002054,BRR.2
BARRICK GOLD CORP,002055,GOLD
BARRINGER TECHNOLOGIES,002058,BARR
BARRISTER GLOBAL SVCS NTWK,002060,BRTR
BARRY (R G) CORP,002061,DFZ
BASE TEN SYSTEMS  -CL A,002070,3BASEA
EARTHSTONE ENERGY INC -OLD,002073,ESTE.1
BASSETT FURNITURE INDS,002080,BSET
BAUSCH & LOMB HLDGS  -REDH,002085,6583B
BAXTER INTERNATIONAL INC,002086,BAX
BEARD CO,002100,BRCOQ
APPLIED INDUSTRIAL TECH INC,002101,AIT
BECTON DICKINSON & CO,002111,BDX
NITCHES INC,002113,NICH
BEL FUSE INC,002124,BELFB
SILVER ASSETS INC,002127,3CILVE
BELDEN & BLAKE CORP,002128,4994B
CARLYLE INDUSTRIES INC,002130,3CRLH
VERIZON COMMUNICATIONS INC,002136,VZ
BCE INC,002137,BCE
BELL INDUSTRIES INC,002138,BLLI
BELL CANADA,002141,BCE1
VERIZON INC/PA,002142,VZ2
BELLSOUTH CORP,002146,BLS
BELO CORP  -SER A COM,002150,BLC
BEMIS CO INC,002154,BMS
DOCPLANET.COM INC,002158,3DOCPE
BENGUET CORP,002162,BENG
BENIHANA INC,002163,BNHN
BERGEN BRUNSWIG CORP  -CL A,002169,BBC.1
BERKSHIRE ENERGY RESOURCES,002175,BERK.
BERKSHIRE HATHAWAY,002176,BRK.B
BEST BUY CO INC,002184,BBY
BETHLEHEM CORP,002188,BEHP
BETHLEHEM STEEL CORP,002189,3BHMSQ
BEVERLY ENTERPRISES INC,002193,BEV
NATIONAL ENERGY GROUP,002204,NEGI
BIG SKY TRANSPORTATION,002205,BSKT.
BINDLEY WESTERN INDS,002213,BDY.1
SAMES CORP,002215,SMCO
BIO-RAD LABORATORIES INC,002220,BIO
SAVIENT PHARMACEUTICALS INC,002222,SVNTQ
BIOGEN INC-OLD,002226,BGEN
BIOMET INC,002230,5938B
BIOTEL INC,002236,3BTEL
SPHERIX INC  -OLD,002237,SPEX.2
NON INVASIVE MONITOR,002240,NIMU
BIO-LOGIC SYSTEMS CORP,002246,BLSC
MICROFLUIDICS INTL CORP,002251,3MFLU
BLACK & DECKER CORP,002255,BDK
BROADBAND WIRELESS INTL CORP,002258,BBAN
BLACK HILLS CORP,002259,BKH
LEXINGTON PRECISION CORP,002264,LEXPQ
BLOCK DRUG  -CL A,002267,BLOCA
BLOCK H & R INC,002269,HRB
ENSCO ROWAN PLC,002270,ESV
BLOUNT INTL INC,002271,BLT
BLUE RIDGE REAL ESTATE CO,002277,BRRE
BOB EVANS FARMS,002282,BOBE
BOEING CO,002285,BA
OFFICEMAX INC,002290,OMX
BOLT TECHNOLOGY CORP,002295,BOLT.1
CARDIODYNAMICS INTL CORP,002299,CDIC
COMJOYFUL INTERNATIONAL CO,002302,KJFI
BOONTON ELECTRONICS CORP,002309,3BOON
ROBERT HALF INTL INC,002312,RHI
HEXION INC,002316,0141A
BURNS INTL SERVICES CORP,002322,BOR.1
NSTAR,002328,NST
