conm,gvkey,tic,year,num_reports
RH,111873,RH,2005,8
RH,111873,RH,2006,13
RH,111873,RH,2007,11
RH,111873,RH,2008,10
RH,111873,RH,2009,8
RH,111873,RH,2010,2
RH,111873,RH,2011,4
RH,111873,RH,2012,6
RITE AID CORP,9155,RAD,2002,3
RITE AID CORP,9155,RAD,2004,2
ROCKWELL AUTOMATION,9203,ROK,2011,1
ROYAL DUTCH SHELL PLC,12384,RDS.A,2010,1
SAFETY-KLEEN CORP,9224,SKLNQ,2002,2
SAFETY-KLEEN CORP,9224,SKLNQ,2004,1
SAKS INC,13380,SKS,2007,1
SALANT CORP,9382,3SLNTE,2001,1
SAN FRANCISCO CO,14798,9363B,2005,1
SCHERING-PLOUGH,9459,SGP,2004,1
SCIENTIFIC-ATLANTA INC,9483,SFA.1,2006,1
SCOR SE,63759,SCRYY,2008,2
SEABOARD CORP,9538,SEB,2001,1
SENSORMATIC ELECTRONICS,9602,SRM,2000,1
SEROLOGICALS CORP,60875,SERO,2002,1
SERVICEMASTER CO,9613,5946B,2010,1
SICO INC,14142,SIC.2,2004,1
SIEMENS AG,19349,SIEGY,2008,1
SIEMENS AG,19349,SIEGY,2011,1
SIGHT RESOURCE CORP,28020,VISNQ,2005,2
SIGNAL TECHNOLOGY CORP,28337,STCO.1,2002,2
SIGNAL TECHNOLOGY CORP,28337,STCO.1,2003,1
SIGNAL TECHNOLOGY CORP,28337,STCO.1,2005,1
SIMMONS CO,9737,SIM.4,2008,1
SIPEX CORP,62559,SIPX,2006,1
SKILLSOFT CORP,129085,SKIL.,2007,2
SMITH & NEPHEW PLC,101317,SNN,2012,1
SONIC CORP,23697,SONC,2004,1
SONIC CORP,23697,SONC,2006,2
SONIC CORP,23697,SONC,2009,1
SONY CORP,9818,SNE,2003,1
SONY CORP,9818,SNE,2004,4
SONY CORP,9818,SNE,2005,1
SONY CORP,9818,SNE,2007,3
SPONGETECH DELIVERY SYSTEMS,163136,SPNGQ,2010,1
STANDARD COMMERCIAL CORP,9988,STW,2010,1
STANDARD MINING CORP,23590,SDMC10,2012,1
STANSBURY HOLDINGS CORP,12709,STBY,2006,3
STERLING FINANCIAL CORP,19537,SLFI,2011,1
STRUCTURAL DYNAMICS RESEARCH,13902,SDRC.1,2004,1
STYLING TECHNOLOGY CORP,64019,STYL,2003,1
STYLING TECHNOLOGY CORP,64019,STYL,2004,4
SUNBEAM CORPORATION,1278,3SOCNQ,2001,3
SUNBEAM CORPORATION,1278,3SOCNQ,2002,3
SUNBEAM CORPORATION,1278,3SOCNQ,2003,4
SUNRISE SOLAR CORP,144110,SSLR,2012,1
SURETY CAPITAL CORP,28577,SRYP,2002,3
SURETY CAPITAL CORP,28577,SRYP,2003,1
SWISHER INTERNATIONAL INC,22121,SWSH.,2001,1
SYMANTEC CORP,15855,SYMC,2007,1
SYMANTEC CORP,15855,SYMC,2012,1
SYMBOL TECHNOLOGIES,10232,SBL.2,2003,2
SYMBOL TECHNOLOGIES,10232,SBL.2,2004,2
SYMBOL TECHNOLOGIES,10232,SBL.2,2005,1
SYMBOL TECHNOLOGIES,10232,SBL.2,2006,2
SYMBOL TECHNOLOGIES,10232,SBL.2,2009,1
SYMBOL TECHNOLOGIES,10232,SBL.2,2010,2
SYNTAX-BRILLIAN CORP,165656,BRLCQ,2011,1
SYNTAX-BRILLIAN CORP,165656,BRLCQ,2012,2
SYS,22718,SYS.5,1999,8
SYS,22718,SYS.5,2000,47
SYS,22718,SYS.5,2001,47
SYS,22718,SYS.5,2002,90
SYS,22718,SYS.5,2003,81
SYS,22718,SYS.5,2004,62
SYS,22718,SYS.5,2005,71
SYS,22718,SYS.5,2006,63
SYS,22718,SYS.5,2007,78
SYS,22718,SYS.5,2008,64
SYS,22718,SYS.5,2009,65
SYS,22718,SYS.5,2010,55
SYS,22718,SYS.5,2011,53
SYS,22718,SYS.5,2012,15
SYSTEMAX INC,60931,SYX,2012,1
TALX CORP,63803,TALX,2005,5
TEAM COMMUNICATIONS GROUP,108453,TMTV,2005,2
TEAM INC,10353,TISI,2001,2
TEAM INC,10353,TISI,2005,3
TEAM INC,10353,TISI,2006,1
TEAM INC,10353,TISI,2007,1
TEAM INC,10353,TISI,2009,1
TEAM INC,10353,TISI,2010,1
TELXON CORP,10422,TLXN,2002,4
TELXON CORP,10422,TLXN,2006,1
TENET HEALTHCARE CORP,7750,THC,2006,2
TENET HEALTHCARE CORP,7750,THC,2007,2
TENET HEALTHCARE CORP,7750,THC,2009,2
TENFOLD CORP,120723,TENF,2002,1
TENNESSEE VALLEY AUTHORITY,10447,3015A,2003,1
TEREX CORP,7991,TEX,2007,1
TEREX CORP,7991,TEX,2008,1
TEREX CORP,7991,TEX,2009,1
TEXTRON INC,10519,TXT,2009,1
THOR INDUSTRIES INC,10549,THO,2011,1
TIDEWATER INC,10565,TDW,2007,1
TIDEWATER INC,10565,TDW,2010,1
TIME INC,19580,TIME,2003,1
TIME INC,19580,TIME,2004,1
TIME INC,19580,TIME,2007,1
TIME INC,19580,TIME,2009,1
TIME WARNER INC,25056,TWX,2005,2
